TCS_Name,B_mag,V_mag,R_mag,I_mag,Name
101-330,13.723,14.3,13.377,13.039,SA101_330
101-415,15.259,15.836,14.913,14.563,SA101_415
101-270,13.711,14.265,13.379,13.073,SA101_270
101-278,15.494,16.535,14.898,14.35,SA101_278
101-L3,15.953,16.59,15.557,15.162,SA101_L3
101-281,11.575,12.387,11.123,10.711,SA101_281
101-L4,16.264,17.057,15.686,15.624,SA101_L4
101-L5,15.928,16.55,15.514,15.209,SA101_L5
101-421,13.18,13.687,12.853,12.557,SA101_421
101-338,13.788,14.422,13.438,13.098,SA101_338
101-339,14.449,15.299,13.991,13.593,SA101_339
101-424,15.058,15.822,14.629,14.204,SA101_424
101-427,14.964,15.769,14.48,14.111,SA101_427
101-341,14.342,14.917,14.01,13.701,SA101_341
101-342,15.556,16.085,15.217,14.798,SA101_342
101-343,15.504,16.11,15.108,14.77,SA101_343
101-429,13.496,14.476,12.879,12.353,SA101_429
101-431,13.684,14.93,12.876,12.168,SA101_431
101-L6,16.497,17.208,16.052,15.469,SA101_L6
101-207,12.419,12.934,12.098,11.778,SA101_207
101-363,9.874,10.135,9.728,9.577,SA101_363
GD-108,13.561,13.346,13.659,13.781,GD_108
G162-66,13.012,12.847,13.138,13.279,G162-66
G44-27,12.636,14.222,11.451,9.925,G44-27
1034+001,13.228,12.863,13.383,13.586,PG1034_001
G163-6,14.706,16.256,13.616,12.232,G163-6
1047+003,13.474,13.184,13.606,13.768,PG1047_003A
1047+003,13.512,14.2,13.09,12.672,PG1047_003B
1047+003,14.751,15.43,14.36,13.989,PG1047_003C
1047+003,12.453,13.06,12.075,11.717,PG1047_003D
G44-40,11.675,13.319,10.459,8.891,G44-40
102-620,10.069,11.152,9.427,8.903,SA102_620
G45-20,13.507,15.541,11.684,9.51,G45-20
102-1081,9.903,10.567,9.537,9.204,SA102_1081
G163-27,14.338,14.626,14.132,13.922,G163-27
G163-50,13.059,13.094,13.144,13.216,G163-50
G163-51,12.576,14.082,11.492,10.133,G163-51
G10-50,11.153,12.905,9.859,8.186,G10-50
103-302,9.861,10.229,9.633,9.396,SA103_302
103-626,11.836,12.249,11.574,11.3,SA103_626
G12-43,12.467,14.313,10.937,8.993,G12-43
104-306,9.37,10.962,8.538,7.776,SA104_306
104-423,15.602,16.232,15.34,14.781,SA104_423
104-428,12.63,13.615,12.096,11.599,SA104_428
104-L1,14.608,15.238,14.234,13.87,SA104_L1
104-430,13.858,14.51,13.494,13.131,SA104_430
104-325,15.581,16.275,15.236,14.929,SA104_325
104-330,15.296,15.89,14.927,14.556,SA104_330
104-440,15.114,15.554,14.825,14.508,SA104_440
104-237,15.395,16.483,14.748,14.12,SA104_237
104-L2,16.048,16.698,15.704,15.381,SA104_L2
104-443,15.372,16.703,14.555,13.777,SA104_443
104-444,13.477,13.989,13.164,12.833,SA104_444
104-335,11.665,12.287,11.308,10.974,SA104_335
104-334,13.484,14.002,13.161,12.83,SA104_334
104-239,13.936,15.292,13.068,12.263,SA104_239
104-336,14.404,15.234,13.943,13.54,SA104_336
104-338,16.059,16.65,15.711,15.339,SA104_338
104-339,15.459,16.291,14.983,14.609,SA104_339
104-244,16.011,16.601,15.673,15.184,SA104_244
104-455,15.105,15.686,14.745,14.388,SA104_455
104-456,12.362,12.984,12.005,11.668,SA104_456
104-457,16.048,16.801,15.564,15.074,SA104_457
104-460,12.886,14.173,12.073,11.38,SA104_460
104-461,9.705,10.181,9.416,9.126,SA104_461
104-350,13.634,14.307,13.251,12.898,SA104_350
104-470,14.31,15.042,14.015,13.659,SA104_470
104-364,15.799,16.4,15.485,15.088,SA104_364
104-366,12.908,13.778,12.391,11.927,SA104_366
104-479,16.087,17.358,15.43,14.823,SA104_479
104-367,15.844,16.483,15.462,15.166,SA104_367
104-484,14.406,15.43,13.892,13.406,SA104_484
104-485,15.017,15.855,14.539,14.051,SA104_485
104-490,12.572,13.107,12.254,11.942,SA104_490
104-598,11.479,12.585,10.809,10.263,SA104_598
G14-55,11.336,12.827,10.258,8.87,G14-55
1323-085,13.481,13.341,13.529,13.607,PG1323-085A
1323-085,13.591,13.984,13.339,13.087,PG1323-085B
1323-085,14.003,14.71,13.608,13.245,PG1323-085C
1323-085,13.406,14.167,12.98,12.573,PG1323-085D
1323-085,12.08,12.667,11.734,11.399,PG1323-085E
105-505,10.27,11.692,9.36,8.499,SA105_505
105-437,12.535,12.783,12.399,12.256,SA105_437
105-815,11.453,11.838,11.186,10.895,SA105_815
-2709,10.367,10.201,10.439,10.534,BD_02_2711
121968,10.254,10.068,10.327,10.425,HD_121968
1407-013,13.75,13.491,13.88,14.024,PG1407-013
106-1024,11.599,11.931,11.403,11.208,SA106_1024
106-700,9.785,11.147,9.057,8.416,SA106_700
1514+034,13.997,13.988,13.91,13.784,PG1514_034
1525-071,15.053,14.855,15.141,15.216,PG1525-071A
1525-071,16.301,16.865,15.89,15.544,PG1525-071B
1525-071,13.509,14.266,13.064,12.639,PG1525-071C
1525-071,16.403,17.133,15.961,15.595,PG1525-071D
1525-071,13.53,14.639,12.94,12.427,PG1525-071E
1528+062,11.989,12.582,11.625,11.281,PG1528_062A
1528+062,15.553,16.383,15.12,14.731,PG1528_062B
1528+062,14.767,14.515,14.878,15.06,PG1528_062C
1528+062,13.477,14.121,13.12,12.78,PG1528_062D
1530+057,13.711,14.54,13.238,12.826,PG1530_057A
1530+057,14.211,14.362,14.049,14.013,PG1530_057B
1530+057,12.842,13.587,12.419,12.043,PG1530_057C
107-970,10.939,12.535,9.797,8.362,SA107_970
107-568,13.054,14.203,12.429,11.834,SA107_568
107-1006,11.712,12.478,11.27,10.849,SA107_1006
107-720,13.121,13.72,12.747,12.392,SA107_720
107-456,12.919,13.84,12.382,11.904,SA107_456
107-457,14.91,15.702,14.416,13.947,SA107_457
107-351,12.342,12.904,11.991,11.633,SA107_351
107-592,11.847,13.165,11.138,10.491,SA107_592
107-458,11.676,12.89,11.009,10.407,SA107_458
107-459,12.284,13.184,11.759,11.242,SA107_459
107-212,13.383,14.066,12.979,12.568,SA107_212
107-215,16.046,16.161,16.078,16.553,SA107_215
107-213,14.262,15.064,13.731,13.222,SA107_213
107-357,14.418,15.093,14.002,13.581,SA107_357
107-599,14.675,15.373,14.242,13.804,SA107_599
107-359,12.797,13.377,12.418,12.037,SA107_359
107-600,14.884,15.387,14.545,14.184,SA107_600
107-601,14.646,16.058,13.723,12.888,SA107_601
